Song ID,Cost
728,559.7000000000019
1794,560.0000000000015
345,597.5000000000018
646,605.5000000000022
2045,606.0999999999996
2208,607.3000000000003
995,610.7000000000024
1063,618.6999999999998
1625,630.3999999999994
1118,632.9000000000036
1872,633.1000000000045
520,636.1000000000038
1566,641.9000000000043
2127,650.8000000000018
1260,653.8000000000028
2080,662.900000000003
1703,671.6000000000029
2093,673.1000000000035
186,674.5999999999949
1159,678.700000000001
1650,688.5000000000016
2424,689.6000000000012
2146,690.1000000000033
802,691.9000000000038
1808,692.1000000000025
140,699.8000000000006
1267,702.100000000006
168,702.5999999999988
1252,703.200000000001
780,703.5000000000025
1322,705.800000000004
1447,706.7000000000039
612,711.4000000000042
443,721.9999999999999
2123,722.5000000000013
1175,722.700000000003
212,723.8000000000031
2144,725.3000000000035
2150,731.9000000000019
1066,733.1999999999946
2015,740.9000000000023
1576,741.1000000000054
658,741.6000000000042
2098,743.900000000002
1568,748.9000000000009
1647,749.5000000000034
446,751.6000000000017
1274,754.1999999999996
1779,758.1000000000016
419,759.1999999999994
862,759.7000000000008
1168,760.1000000000017
1016,760.9000000000024
1059,762.4000000000024
848,763.3999999999987
14,763.5000000000033
183,765.8999999999996
872,768.3000000000065
2086,771.2000000000021
1865,771.7999999999963
118,772.0000000000047
874,782.6999999999964
1127,788.8000000000022
143,791.7000000000039
2162,793.2000000000028
1396,794.7000000000018
1182,803.300000000004
1422,806.6000000000049
784,809.2000000000032
1592,812.7000000000012
883,813.8000000000027
999,817.2000000000041
2256,820.100000000002
268,821.4000000000023
1142,823.4499999999941
2084,825.6000000000038
2100,828.6000000000041
782,837.8000000000035
1215,837.900000000004
2185,845.1000000000035
2164,847.8000000000064
1849,848.7000000000038
1438,850.0000000000027
663,853.5000000000015
1303,853.800000000001
1272,856.000000000001
2125,857.6000000000083
593,860.3000000000029
1531,862.0000000000049
60,879.500000000001
1367,879.9000000000041
1232,880.0000000000023
2063,889.000000000001
2107,889.5000000000009
510,889.8000000000048
676,890.1499999999995
2168,895.9000000000026
838,900.0000000000047
751,900.4000000000029
246,906.0499999999918
1122,912.099999999996
1224,920.8000000000015
889,922.8000000000034
1411,923.0000000000064
2024,923.5000000000026
990,934.6000000000033
1339,934.8000000000018
2419,940.9000000000023
768,944.1499999999953
641,948.4000000000033
253,954.6000000000017
668,956.2000000000018
1376,958.1000000000004
620,965.9000000000027
2414,968.1000000000045
70,969.4000000000032
629,972.7000000000035
2433,977.2000000000006
686,977.3499999999992
811,979.5000000000016
126,981.0000000000013
906,997.3000000000026
15,997.8000000000014
601,1005.1499999999943
776,1005.3000000000026
1247,1007.7000000000027
1030,1019.8000000000042
2135,1020.3000000000048
2166,1022.6000000000016
738,1028.9000000000024
1351,1032.2000000000005
2187,1040.700000000001
579,1051.5000000000025
534,1052.5000000000014
2310,1053.0000000000014
1652,1062.4000000000053
1404,1070.9000000000017
1839,1071.2000000000046
472,1084.5000000000039
1180,1086.400000000001
504,1095.7000000000046
2181,1103.4000000000003
1093,1105.1000000000033
284,1105.3000000000015
976,1106.8000000000006
1819,1109.6000000000026
2410,1113.5000000000011
2269,1124.4499999999978
859,1132.8000000000036
1643,1160.7000000000007
638,1163.0999999999995
1605,1167.900000000002
414,1170.6999999999975
2158,1180.7999999999997
1046,1201.9000000000021
2111,1202.2000000000012
2243,1202.3000000000004
742,1209.3000000000018
2154,1209.7999999999943
1488,1223.499999999993
2228,1231.899999999996
608,1235.500000000003
1786,1235.800000000005
1519,1244.6000000000029
547,1246.7999999999995
1461,1256.8999999999992
1022,1275.8999999999974
789,1286.8999999999996
2392,1291.3000000000006
1685,1295.9000000000012
1743,1297.6000000000024
599,1300.999999999999
1320,1307.1000000000015
83,1310.8000000000038
1614,1311.3000000000034
1358,1315.900000000001
902,1336.799999999997
564,1341.2999999999968
1564,1346.8999999999999
897,1362.499999999994
159,1364.299999999998
1472,1370.5999999999967
264,1380.5499999999981
1036,1388.9999999999977
2246,1389.5499999999993
773,1393.2999999999952
386,1408.799999999996
887,1421.0999999999965
2403,1454.5500000000015
758,1463.7000000000064
1104,1468.9999999999918
706,1478.3999999999967
2293,1482.4000000000037
1458,1513.1999999999937
1084,1527.599999999997
1847,1528.8999999999955
1212,1531.4000000000012
1204,1576.799999999998
778,1599.7999999999988
1710,1602.9999999999993
2088,1610.3000000000006
2304,1645.199999999999
2280,1686.1000000000001
281,1696.1000000000033
2189,1698.2
1081,1702.4999999999982
2289,1719.4999999999975
94,1727.7999999999934
1835,1750.6999999999932
1313,1763.1999999999994
1635,1789.1999999999982
240,1791.6
526,1803.2999999999938
575,1811.999999999989
661,1842.0499999999977
1501,1855.1999999999882
433,1955.5999999999997
610,2011.0000000000027
377,2014.4999999999966
910,2116.000000000003
1620,2164.6999999999903
760,2175.7
1087,2189.5999999999894
1188,2223.199999999991
1868,2224.9999999999895
79,2237.599999999996
1478,2373.69999999999
112,2396.399999999993
551,2570.100000000006
605,2714.149999999998
391,2999.299999999998
368,3131.499999999989
155,3152.199999999997
1600,3968.200000000012
1333,4575.100000000001
841,5436.400000000007
1655,inf
324,inf
355,inf
509,inf
