Song ID,Cost
1703,102.68137519043617
612,103.6708881646309
706,109.72896914277368
1519,111.92958295816767
1625,112.63671221397252
1182,113.74482646349693
2123,114.1850813255386
168,114.38577038245825
629,114.64410621438617
246,114.8053805771718
2189,115.07798274865914
2063,115.09915102053759
1849,115.43795395371377
728,115.8088845736984
1794,116.17341254883144
676,116.29206851106457
472,116.35489333323987
268,116.52300337532948
641,116.52492360080903
995,116.65324127298354
610,116.6542241778758
2414,117.11671345732707
1159,117.46432232474903
1142,117.62767435732981
1411,117.9343236673681
1081,118.04098791217625
2154,118.35590462232936
1647,118.86309099825561
1118,119.35771951427266
564,119.36247459284202
1260,119.49538583363429
534,119.60383648746725
1650,119.64758511006872
1592,119.7515646273234
1835,119.80457413192457
60,119.89119536590295
2403,120.1445736694624
1212,120.22488673871331
2269,120.34385553464017
155,120.46088007023437
443,120.91150097061039
1046,121.1418838593574
2107,121.23905417275077
140,121.30159439376153
2086,121.3512768249023
768,121.35481925730436
2080,121.3560722768315
1710,121.58789772926094
1122,122.01327541264838
240,122.08852661866622
509,122.12937782278276
1605,122.35440344410625
183,123.04166462682278
2228,123.16511873976052
391,123.22066832522155
526,123.23144816405946
2150,123.31416363719957
1036,123.33108644739528
889,123.51545195355096
1422,123.54129705178045
2098,123.58285025127338
1022,123.75913208333434
1868,123.84725809280191
862,123.85624721539027
1320,124.02769648932724
2392,124.05715298267091
355,124.07657888731276
264,124.40175102011654
1059,124.54134256993548
999,124.61727586096698
2293,124.66845697165142
1272,124.68965575031771
1438,124.79904381406467
510,124.89475575946405
1066,124.9592705799019
419,125.04878291344505
2289,125.12594749770567
1568,125.1556272331491
872,125.15729529088786
1786,125.26030206670534
433,125.39452861141264
2166,125.42181676886382
848,125.72686116732139
2433,125.78045776663184
782,125.8089476691655
758,125.91574032607824
1127,125.95287694491319
1501,125.96785941507558
658,126.20258696891692
1819,126.33043857634651
2304,126.34721329972649
2424,126.35337673661054
838,126.4608298389185
1614,126.4917112256973
1600,126.84627994267609
601,126.85758622660359
1224,126.86138997566681
2015,126.88680038307902
575,126.8945785698626
2111,126.93964155952285
1447,126.94985872548517
1303,126.98070078487191
605,127.01138141910175
212,127.11474308335382
1404,127.17711131887508
2208,127.38365561655449
386,127.59687397072405
1215,127.69002040937805
186,127.84854098043597
1743,127.90187254489909
2187,128.00803080374558
159,128.10075662806096
1643,128.1617965436332
776,128.19805350363734
83,128.26943536595846
520,128.28198376069645
1188,128.29392564149973
906,128.37107186247488
2125,128.56482565079807
841,128.58980922764596
1458,128.7547819325912
1175,128.88526199872834
778,128.90886927403264
1461,128.91237461734877
446,129.07435847493332
2410,129.14672297209992
2310,129.17923447279114
1030,129.1974937296334
883,129.63782292015105
2181,129.66128358746755
281,129.70938215663716
1351,129.75058319170017
2246,129.80254851624
1808,129.82600108181293
593,129.87076496883913
2093,130.188336554068
2146,130.3252678213335
1274,130.38805673013152
599,130.46941566835872
551,130.61852946830928
1093,130.64879255700944
2185,130.80098527280305
2127,131.03572908458128
1472,131.16181733207128
668,131.1955436470044
1204,131.19977926364584
345,131.30273345679657
1180,131.31172873244654
620,131.3203624139281
1247,131.64814456404255
2084,131.74239703772523
1339,131.76541209964125
874,131.96228977486513
118,131.97644473840396
1652,132.17207053272472
1267,132.20597932155766
284,132.2518689758311
638,132.27225893667006
1016,132.30405058626667
1104,132.30991411873975
2280,132.36457523155394
1333,132.39659861617082
2164,132.4607660500169
1872,132.59437146063422
1252,132.6181161018671
15,132.7638296570453
324,132.7902526240623
368,132.7984268497432
414,132.8646214899097
1358,132.8920857038948
14,133.01245715417284
2419,133.0178343496729
1564,133.03042811210298
859,133.05657070079272
784,133.09357971829922
143,133.1869588388366
738,133.66022650209834
2088,133.6836237635856
504,133.8031357733338
663,133.90885975707798
1531,134.05474813553147
902,134.15397344233082
789,134.22226169154135
2135,134.26335951237462
686,134.32740430285952
1576,134.41145459330352
1396,134.45657002144077
1847,134.56608433058068
126,134.57637632103396
2162,134.64602239603101
608,134.71838979228744
1232,134.8378906438498
1087,134.85317982955385
897,135.39553010192685
1865,135.44252008908413
1168,135.49469827829128
2158,135.54906335178558
661,135.74206888622624
579,135.8306157593874
1376,136.07151330624092
1488,136.32725284721167
887,136.42221331160917
2100,136.53229968583963
2168,137.12047279181456
760,137.33013692457988
547,137.46595552235908
1566,137.48197270954046
976,137.51353682525027
910,137.83536243170758
811,138.03601230225547
2045,138.15949855601582
990,138.43619188591043
112,138.53422565416957
2024,138.59616599369696
1620,138.7808247224281
773,138.8141303390533
646,139.14901616519305
1779,139.3008244642308
2144,139.6937666862609
1063,140.48208811305201
1313,140.7273478634095
1635,140.83638104495944
70,140.8860955130269
2243,141.01917856614173
1655,141.20994750369724
1478,141.37392195993544
780,142.19781106102033
802,142.54106016558353
1685,142.7259749516748
94,142.95678511477212
1367,143.46899176629483
1322,144.05670123850018
1839,144.13382444637355
79,144.1560498114366
751,144.16734761809468
377,147.5088030478094
253,147.95142078239613
742,149.86181731339664
1084,149.9691361943255
2256,170.25836762561207
