Song ID,Cost
2098,109.20729845620217
1620,112.33965179443696
1320,115.32774476832134
1212,116.92133191455764
504,116.97926588922054
2187,117.49376614977068
2410,118.22182276377063
2419,118.97968563146891
599,119.17946828356378
1180,119.1970732460852
887,119.74745245660078
419,119.877432013399
2135,119.87785567442286
776,120.00630921557814
641,120.06246264119453
2243,120.52951461892671
1592,121.01737777193736
168,121.12855140711771
2084,121.13644389381396
386,121.47542459268399
990,121.75675337166174
564,121.76619032370823
1204,121.90319142498619
811,122.17456205411708
2123,122.4765033819021
848,122.82219900730811
1808,122.99250760698774
2162,123.03062566403985
2181,123.08743977702596
1247,123.35632152285142
1461,123.37324164767787
1232,123.63811530571336
2127,123.90772214927934
706,124.03859701572976
686,124.25783322827522
1605,124.36384579433823
1396,124.50390619728316
2150,124.53716064184327
1182,124.73924135224397
1404,124.76455326726189
1224,124.94227918932152
1081,124.94537560457424
742,125.13652351907608
1030,125.15157944473444
760,125.41602485152468
2063,125.57650922890096
1647,125.76860764140409
1188,125.94679964361058
2158,126.09587533867467
638,126.21911352069625
212,126.23925928044244
906,126.45596128031168
605,126.46816814742076
841,126.58787548539937
1333,126.75685846771229
1104,126.85654624865157
738,127.03909785319655
1472,127.24929032188918
520,127.26851393588859
140,127.4112556130139
1779,127.43315182915586
1652,127.46142036805888
2403,127.47606997111828
1865,127.67004151311951
2100,127.99089447611233
2280,128.10827393555033
281,128.2178852487455
1313,128.26072658215605
1478,128.27111716005513
143,128.3231082673279
2310,128.33906218331018
443,128.35327358664986
2304,128.4371311155373
1488,128.62355536647235
897,128.8446761326723
778,129.27303134931472
575,129.48037814364244
862,129.5325625093929
668,129.6297052895977
1339,129.97058954342265
2144,130.06866691312382
159,130.09470944370608
2111,130.13121539562866
551,130.15506674478766
1872,130.1855029924336
94,130.36584963911696
751,130.4727779872984
1643,130.51867424852492
1376,130.52873930846624
874,130.6193183793452
2086,130.78824147026307
999,130.96087604263784
2189,131.11632581244666
1614,131.2051783378883
2256,131.2132901469722
1036,131.3547728678723
1322,131.40114563777152
1063,131.48303287920533
433,131.75058110347152
1703,131.75319021566148
1710,131.98340047832968
1447,132.0786090897646
1142,132.40760645486432
368,132.47611363981878
1093,132.58748810221854
1564,132.59747671366432
1655,132.59970605801647
1743,132.63472389430146
15,132.63806087994774
883,132.78405399379375
1650,132.9944420984408
2168,133.0290780815726
1022,133.0302747582253
1786,133.20120940757892
728,133.2681405552998
2185,133.39324668145517
60,133.46546913389727
1685,133.59447724544268
1351,133.60540457426495
2088,133.6631537049387
2414,133.67174747500925
1118,133.67497657878755
593,134.045757412801
345,134.05814859569963
1576,134.15062535668298
1274,134.17586924366665
872,134.29824733719457
246,134.35793326858382
859,134.43426806249403
2024,134.5032447823767
253,134.7175134657438
2289,134.74443633948644
2269,134.78275696728898
2208,134.8261976044778
324,134.97178532821403
83,135.13148071585485
1016,135.14250690321052
2228,135.14553385022822
910,135.15470264127143
789,135.32832774026943
2093,135.49658912582015
661,135.51131373092196
1059,135.62304731812247
240,135.6526829500147
2433,135.91176294844206
183,136.1060436856537
1819,136.12848849907752
1519,136.24257046741985
2146,136.35541853037168
1868,136.60575827614147
1635,136.7917607894875
2293,136.83566884131105
610,136.84686631353415
1046,136.8834222837271
1458,136.99504920582717
646,137.0449603677249
268,137.29330213240738
510,137.33233013689352
264,137.41094774324844
2080,137.59948926121135
472,137.6373299065157
1839,137.68716909213245
1066,137.77933619030367
547,138.1539634899936
2424,138.24290523043194
1847,138.46751469752186
1358,138.60960751070067
2392,138.63971331777287
118,138.7973137339521
1367,139.05459005766465
782,139.16282455707798
2154,139.20357914882823
1794,139.20621939272667
1600,139.21578461047008
1260,139.33174172450472
509,139.35132440027826
2107,139.39332053603752
1422,139.43265685597234
784,139.45638232411676
70,139.47842967100812
2125,139.52442887612068
976,139.64613295091112
1168,139.80334308031988
112,139.910929878602
1175,140.47212908798184
414,140.59460450737961
1272,140.94288737334023
1084,140.9526588608487
902,140.95309307532239
1122,141.0757804876738
79,141.0803442525608
534,141.18921609940944
780,141.29742202740854
2246,141.75628698652298
658,141.8309497731935
1849,142.00659690463934
1438,142.7535901935763
768,142.9210526754595
1159,142.94763929262604
608,142.9832930836139
1087,143.313064799872
773,143.59679797690384
629,144.1883574357664
1215,144.31500318298725
620,144.38735642585803
676,144.79392178961842
126,145.03136974384543
1568,145.14038339040664
391,145.19153250039955
601,145.58582712184096
14,145.88257523050308
446,146.03857751045558
526,146.21516389460103
2015,146.27397696676564
838,146.55414167797423
663,146.6108097894548
2166,146.8951918448849
758,147.305339973487
995,147.4139807594572
579,147.53704276091275
1267,147.69710183333302
377,148.06269063677277
1303,148.28041538146886
155,148.74367300571177
889,149.3617784706144
355,151.77887120788708
1252,152.42908233188496
284,152.48830920307608
1835,154.203286527033
1531,154.89850279436246
1127,156.19362616287643
2045,157.15457780462032
2164,158.61599853064192
612,158.9420980861635
802,159.45403662867523
186,159.7418730171123
1501,159.7916728968171
1625,163.68910800141572
1411,163.76792893525194
1566,198.71948569171195
